date_collected,shopid,Category_Shop
2021-06-21,449127685,Other
2021-07-06,453049862,Other
2021-06-28,449182992,Other
2021-07-06,449182992,Other
2021-06-13,259027993,Other
2021-07-06,259027993,Other
2021-07-06,265511974,Other
2021-06-13,69635896,Other
2021-06-28,69635896,Other
2021-07-06,69635896,Other
2021-06-13,264590394,Other
2021-06-21,264590394,Other
2021-06-28,264590394,Other
2021-07-06,264590394,Other
2021-07-06,70189884,Other
2021-07-06,147134021,Other
2021-06-13,67752782,Other
2021-06-28,435915347,Other
2021-06-28,6077779,Other
2021-07-06,451285102,Other
2021-06-28,266802542,Other
2021-07-06,266802542,Other
2021-06-13,68266356,Other
2021-06-13,452978553,Other
2021-06-28,67883391,Other
2021-06-13,5302656,Other
2021-06-21,5302656,Other
2021-06-28,5302656,Other
2021-07-06,5302656,Other
2021-06-13,262892165,Other
2021-06-13,262845064,Other
2021-06-21,262845064,Other
2021-06-28,262845064,Other
2021-07-06,262845064,Other
2021-06-13,446245515,Other
2021-06-28,451742606,Other
2021-07-06,151149464,Other
2021-06-28,443928985,Other
2021-07-06,453331613,Other
2021-06-28,440871071,Other
2021-06-21,452323746,Other
2021-06-13,268037290,Other
2021-06-13,258468274,Other
2021-06-21,258468274,Other
2021-06-28,258468274,Other
2021-06-28,455548857,Other
2021-07-06,455548857,Other
2021-06-13,262503614,Other
2021-06-21,262503614,Other
2021-06-28,262503614,Other
2021-07-06,262503614,Other
2021-06-13,263745732,Other
2021-06-21,263745732,Other
2021-07-06,263745732,Other
2021-06-13,449754824,Other
2021-06-21,449754824,Other
2021-06-28,449754824,Other
2021-07-06,449754824,Verified Shop
2021-06-21,144287446,Other
2021-06-28,144287446,Other
2021-06-13,149749719,Other
2021-07-06,149749719,Other
2021-06-13,266644184,Verified Shop
2021-06-21,266644184,Verified Shop
2021-06-28,266644184,Verified Shop
2021-07-06,266644184,Verified Shop
2021-06-13,23250659,Verified Shop
2021-06-21,23250659,Verified Shop
2021-06-28,23250659,Verified Shop
2021-07-06,23250659,Verified Shop
2021-06-13,147240166,Other
2021-06-21,147240166,Other
2021-06-28,147240166,Other
2021-07-06,147240166,Other
2021-07-06,446875373,Other
2021-06-13,285493266,Verified Shop
2021-06-28,287258928,Other
2021-06-21,290377008,Verified Shop
2021-06-21,27574322,Other
2021-07-06,280520761,Verified Shop
2021-06-21,283754579,Other
2021-06-28,283754579,Other
2021-07-06,283754579,Other
2021-06-13,29167960,Other
2021-06-21,290961765,Verified Shop
2021-06-13,287789175,Verified Shop
2021-06-28,287789175,Verified Shop
2021-07-06,287789175,Verified Shop
2021-06-13,281266301,Other
2021-06-21,281266301,Other
2021-06-28,281266301,Other
2021-07-06,281266301,Other
2021-06-21,288394116,Verified Shop
2021-06-28,288394116,Verified Shop
2021-07-06,288394116,Verified Shop
2021-06-28,287993221,Other
2021-06-21,280871312,Other
2021-06-28,280871312,Other
2021-06-21,291022738,Other
2021-06-28,291022738,Other
2021-07-06,291022738,Other
2021-06-13,289910163,Verified Shop
2021-06-13,26854293,Other
2021-06-21,79439002,Other
2021-06-28,79439002,Other
2021-07-06,79439002,Other
2021-06-28,284009378,Verified Shop
2021-07-06,284009378,Verified Shop
2021-06-28,291088816,Other
2021-07-06,285109174,Other
2021-06-13,290377398,Verified Shop
2021-06-28,161903557,Other
2021-06-21,161746899,Other
2021-06-28,161746899,Other
2021-07-06,161746899,Other
2021-06-21,162058206,Other
2021-06-28,162058206,Other
2021-07-06,162058206,Other
2021-06-13,81430775,Other
2021-06-13,289787386,Other
2021-06-28,289787386,Other
2021-06-21,270376961,Other
2021-06-13,462140676,Other
2021-07-06,462140676,Verified Shop
2021-06-13,274192652,Other
2021-06-13,276428558,Other
2021-06-21,276428558,Other
2021-06-13,276895504,Other
2021-06-21,276895504,Other
2021-06-21,6928162,Other
2021-06-13,25717546,Other
2021-06-21,25717546,Other
2021-06-21,155121457,Other
2021-06-28,155121457,Other
2021-07-06,155121457,Other
2021-07-06,461815350,Other
2021-06-13,6381125,Other
2021-06-21,273094218,Verified Shop
2021-06-28,273094218,Verified Shop
2021-07-06,273094218,Verified Shop
2021-06-21,277380946,Other
2021-07-06,277380946,Other
2021-06-13,277581138,Other
2021-06-21,275072879,Other
2021-06-13,74965889,Other
2021-06-13,25811092,Other
2021-06-21,25811092,Other
2021-06-28,25811092,Other
2021-07-06,25811092,Other
2021-06-13,273590933,Other
2021-06-28,75150237,Other
2021-07-06,75150237,Other
2021-06-13,271800741,Other
2021-06-28,271800741,Other
2021-07-06,467411881,Other
2021-06-28,157053609,Other
2021-06-28,456337069,Other
2021-07-06,456337069,Other
2021-06-13,273569988,Other
2021-07-06,154035407,Other
2021-06-21,25587666,Verified Shop
2021-06-28,468959708,Other
2021-06-13,156756973,Other
2021-06-21,156756973,Other
2021-06-28,156756973,Other
2021-07-06,156756973,Other
2021-06-13,275875058,Other
2021-06-21,275875058,Other
2021-06-28,275875058,Other
2021-06-28,273201142,Other
2021-07-06,273201142,Other
2021-06-21,432495624,Other
2021-06-28,432495624,Other
2021-07-06,419928844,Other
2021-06-21,427683857,Other
2021-06-28,21422611,Other
2021-07-06,415653911,Other
2021-06-13,254758936,Other
2021-06-21,254758936,Other
2021-06-28,254758936,Other
2021-07-06,254758936,Other
2021-06-28,63369513,Other
2021-06-13,141535018,Verified Shop
2021-06-21,141535018,Verified Shop
2021-06-28,141535018,Other
2021-07-06,141535018,Other
2021-06-13,64360491,Other
2021-06-21,64360491,Other
2021-06-28,64360491,Other
2021-07-06,64360491,Other
2021-06-13,64151604,Other
2021-06-21,64151604,Other
2021-06-28,64151604,Other
2021-07-06,64151604,Other
2021-07-06,20446518,Other
2021-06-21,431447101,Verified Shop
2021-06-21,426357053,Other
2021-06-13,64909636,Verified Shop
2021-06-21,64909636,Verified Shop
2021-06-13,417317962,Verified Shop
2021-06-21,417317962,Verified Shop
2021-06-28,417317962,Verified Shop
2021-06-13,418672464,Verified Shop
2021-06-28,418672464,Verified Shop
2021-07-06,418672464,Verified Shop
2021-07-06,419236946,Verified Shop
2021-06-13,64909141,Other
2021-06-21,64909141,Other
2021-06-28,64909141,Other
2021-06-13,139558229,Other
2021-06-21,139558229,Other
2021-06-28,139558229,Other
2021-07-06,139558229,Other
2021-06-13,21407329,Verified Shop
2021-06-21,21407329,Verified Shop
2021-06-28,21407329,Verified Shop
2021-07-06,421975393,Other
2021-06-13,140134509,Other
2021-06-28,140134509,Other
2021-07-06,140134509,Other
2021-06-13,430999411,Other
2021-06-13,244604039,Verified Shop
2021-06-28,244604039,Verified Shop
2021-07-06,244604039,Verified Shop
2021-06-28,416886409,Verified Shop
2021-07-06,416886409,Verified Shop
2021-07-06,141606030,Other
2021-06-21,243356831,Other
2021-06-28,243356831,Other
2021-06-21,419954100,Verified Shop
2021-07-06,419954100,Other
2021-06-13,254711738,Verified Shop
2021-06-21,254711738,Verified Shop
2021-06-28,254711738,Verified Shop
2021-07-06,254711738,Verified Shop
2021-06-13,140345020,Other
2021-06-21,420881087,Other
2021-06-28,420881087,Verified Shop
2021-07-06,420881087,Verified Shop
2021-06-21,138783697,Other
2021-06-13,20477406,Verified Shop
2021-06-21,20477406,Verified Shop
2021-06-21,20816099,Other
